Mod,K,p,SNR,Throughput
BPSK,1,6,8.080000,36.190476
BPSK,1,7,8.130000,37.795276
BPSK,1,8,8.250000,38.745098
BPSK,1,9,8.400000,39.295499
BPSK,1,0,9.780000,40.000000
QPSK,2,6,11.090000,72.380952
QPSK,2,7,11.140000,75.590551
QPSK,2,8,11.260000,77.490196
QPSK,2,9,11.410000,78.590998
QPSK,2,0,12.790000,80.000000
8QAM,3,6,16.130000,108.571429
8QAM,3,7,16.200000,113.385827
8QAM,3,8,16.330000,116.235294
8QAM,3,9,16.490000,117.886497
16QAM,4,6,17.880000,144.761905
16QAM,4,7,17.940000,151.181102
16QAM,4,8,18.060000,154.980392
16QAM,4,9,18.220000,157.181996
16QAM,4,0,19.650000,160.000000
64QAM,6,6,23.920000,217.142857
64QAM,6,7,23.990000,226.771654
64QAM,6,8,24.130000,232.470588
64QAM,6,9,24.290000,235.772994
64QAM,6,0,25.770000,240.000000
256QAM,8,6,29.830000,289.523810
256QAM,8,7,29.910000,302.362205
256QAM,8,8,30.050000,309.960784
256QAM,8,9,30.220000,314.363992
256QAM,8,0,31.740000,320.000000
